"","LT1NAME"
"1","Stormont, Dundas and Glengarry UCo"
"2","Frontenac Co"
"3","Frontenac Islands Tp"
"4","Kingston C"
"5","South Frontenac Tp"
"6","South Glengarry Tp"
"7","Central Frontenac Tp"
"8","North Frontenac Tp"
"9","South Stormont Tp"
"10","Cornwall C"
"11","South Dundas Tp"
"12","North Dundas Tp"
"13","North Stormont Tp"
"14","North Glengarry Tp"
"15","Lennox and Addington Co"
"16","Loyalist Tp"
"17","Greater Napanee T"
"18","Stone Mills Tp"
"19","Addington Highlands Tp"
"20","Hastings Co"
"21","Tyendinaga Tp"
"22","Deseronto T"
"23","Belleville C"
"24","Quinte West C"
"25","Stirling-Rawdon Tp"
"26","Centre Hastings M"
"27","Tweed M"
"28","Madoc Tp"
"29","Marmora and Lake M"
"30","Tudor and Cashel Tp"
"31","Limerick Tp"
"32","Wollaston Tp"
"33","Faraday Tp"
"34","Bancroft T"
"35","Carlow/Mayo Tp"
"36","Hastings Highlands M"
"37","Prince Edward County C"
"38","Northumberland Co"
"39","Brighton M"
"40","Cramahe Tp"
"41","Alnwick-Haldimand Tp"
"42","Hamilton Tp"
"43","Cobourg T"
"44","Port Hope M"
"45","Trent Hills M"
"46","Peterborough Co"
"47","Asphodel-Norwood Tp"
"48","Otonabee-South Monaghan Tp"
"49","Cavan Monaghan Tp"
"50","Peterborough C"
"51","Smith-Ennismore-Lakefield Tp"
"52","Selwyn Tp"
"53","Douro-Dummer Tp"
"54","Havelock-Belmont-Methuen Tp"
"55","North Kawartha Tp"
"56","Galway-Cavendish and Harvey Tp"
"57","Trent Lakes M"
"58","Kawartha Lakes C"
"59","Durham R"
"60","Pickering C"
"61","Ajax T"
"62","Whitby T"
"63","Oshawa C"
"64","Clarington M"
"65","Scugog Tp"
"66","Uxbridge Tp"
"67","Brock Tp"
"68","York R"
"69","Vaughan C"
"70","Markham T"
"71","Markham C"
"72","Richmond Hill T"
"73","Whitchurch - Stouffville T"
"74","Aurora T"
"75","Newmarket T"
"76","King Tp"
"77","East Gwillimbury T"
"78","Georgina T"
"79","Prescott and Russell UCo"
"80","Toronto C"
"81","East Hawkesbury Tp"
"82","Champlain Tp"
"83","Hawkesbury T"
"84","The Nation M"
"85","Alfred and Plantagenet Tp"
"86","Clarence-Rockland C"
"87","Casselman V"
"88","Russell Tp"
"89","Peel R"
"90","Mississauga C"
"91","Brampton C"
"92","Caledon T"
"93","Dufferin Co"
"94","East Garafraxa Tp"
"95","East Luther Grand Valley Tp"
"96","Grand Valley T"
"97","Amaranth Tp"
"98","Mono T"
"99","Orangeville T"
"100","Mulmur Tp"
"101","Melancthon Tp"
"102","Shelburne T"
