Geographic.code,CD_Name,CSD_type,CSD_Name,LT1NAME,AHHI,MHHI
3501005,"Stormont, Dundas and Glengarry",Township,South Glengarry,South Glengarry Tp,82433,67735
3501011,"Stormont, Dundas and Glengarry",Township,South Stormont,South Stormont Tp,80862,68547
3501012,"Stormont, Dundas and Glengarry",City,Cornwall,Cornwall C,53068,41924
3501020,"Stormont, Dundas and Glengarry",Township,South Dundas,South Dundas Tp,69683,59003
3501030,"Stormont, Dundas and Glengarry",Township,North Dundas,North Dundas Tp,81043,71958
3501042,"Stormont, Dundas and Glengarry",Township,North Stormont,North Stormont Tp,76549,66072
3501050,"Stormont, Dundas and Glengarry",Township,North Glengarry,North Glengarry Tp,63869,54922
3502001,Prescott and Russell,Township,East Hawkesbury,East Hawkesbury Tp,77742,66310
3502008,Prescott and Russell,Town,Hawkesbury,Hawkesbury T,50647,39981
3502010,Prescott and Russell,Township,Champlain,Champlain Tp,78811,64182
3502023,Prescott and Russell,Township,Alfred and Plantagenet,Alfred and Plantagenet Tp,67720,59020
3502025,Prescott and Russell,Municipality,The Nation / La Nation,The Nation M,87119,83564
3502036,Prescott and Russell,City,Clarence-Rockland,Clarence-Rockland C,90394,82898
3502044,Prescott and Russell,Village,Casselman,Casselman V,82063,73028
3502048,Prescott and Russell,Township,Russell,Russell Tp,104921,99646
3506008,Ottawa,City,Ottawa,Ottawa C,96815,79634
3507004,Leeds and Grenville,Township,Edwardsburgh/Cardinal,Edwardsburgh/Cardinal Tp,71267,67970
3507006,Leeds and Grenville,Township,Augusta,Augusta Tp,80882,68526
3507014,Leeds and Grenville,Township,Elizabethtown-Kitley,Elizabethtown-Kitley Tp,81599,70563
3507015,Leeds and Grenville,City,Brockville,Brockville C,60324,47903
3507017,Leeds and Grenville,Township,Front of Yonge,Front of Yonge Tp,80839,70446
3507021,Leeds and Grenville,Township,Leeds and the Thousand Islands,Leeds and the Thousand Islands Tp,86531,76414
3507024,Leeds and Grenville,Town,Gananoque,Gananoque ST,62866,49111
3507033,Leeds and Grenville,Village,Westport,Westport V,69579,58207
3507040,Leeds and Grenville,Township,Rideau Lakes,Rideau Lakes Tp,76163,65405
3507042,Leeds and Grenville,Township,Athens,Athens Tp,68858,63754
3507065,Leeds and Grenville,Municipality,North Grenville,North Grenville M,90293,82434
3509001,Lanark,Township,Montague,Montague Tp,79081,70200
3509004,Lanark,Town,Smiths Falls,Smiths Falls ST,53282,45469
3509021,Lanark,Town,Perth,Perth T,60345,47201
3509024,Lanark,Township,Beckwith,Beckwith Tp,101191,96350
3509028,Lanark,Town,Carleton Place,Carleton Place T,76321,67465
3509030,Lanark,Town,Mississippi Mills,Mississippi Mills T,88888,78953
3510005,Frontenac,Township,Frontenac Islands,Frontenac Islands Tp,87243,82045
3510010,Frontenac,City,Kingston,Kingston C,76020,59935
