"","CSD_Name"
"1","South Glengarry"
"2","South Stormont"
"3","Cornwall"
"4","South Dundas"
"5","North Dundas"
"6","North Stormont"
"7","North Glengarry"
"8","East Hawkesbury"
"9","Hawkesbury"
"10","Champlain"
"11","Alfred and Plantagenet"
"12","The Nation / La Nation"
"13","Clarence-Rockland"
"14","Casselman"
"15","Russell"
"16","Ottawa"
"17","Edwardsburgh/Cardinal"
"18","Augusta"
"19","Elizabethtown-Kitley"
"20","Brockville"
"21","Front of Yonge"
"22","Leeds and the Thousand Islands"
"23","Gananoque"
"24","Westport"
"25","Rideau Lakes"
"26","Athens"
"27","North Grenville"
"28","Montague"
"29","Smiths Falls"
"30","Perth"
"31","Beckwith"
"32","Carleton Place"
"33","Mississippi Mills"
"34","Frontenac Islands"
"35","Kingston"
"36","South Frontenac"
"37","Loyalist"
"38","Greater Napanee"
"39","Stone Mills"
"40","Tyendinaga"
"41","Tyendinaga Mohawk Territory"
"42","Belleville"
"43","Quinte West"
"44","Stirling-Rawdon"
"45","Centre Hastings"
"46","Tweed"
"47","Tudor and Cashel"
"48","Limerick"
"49","Faraday"
"50","Bancroft"
"51","Carlow/Mayo"
"52","Hastings Highlands"
"53","Prince Edward County"
"54","Brighton"
"55","Cramahe"
"56","Hamilton"
"57","Port Hope"
"58","Cobourg"
"59","Alnwick/Haldimand"
"60","Alderville First Nation"
"61","Trent Hills"
"62","Asphodel-Norwood"
"63","Otonabee-South Monaghan"
"64","Hiawatha First Nation"
"65","Peterborough"
"66","Smith-Ennismore-Lakefield"
"67","Curve Lake First Nation 35"
"68","Douro-Dummer"
"69","Kawartha Lakes"
"70","Pickering"
"71","Ajax"
"72","Whitby"
"73","Oshawa"
"74","Clarington"
"75","Scugog"
"76","Mississaugas of Scugog Island"
"77","Uxbridge"
"78","Brock"
"79","Vaughan"
"80","Markham"
"81","Richmond Hill"
"82","Whitchurch-Stouffville"
"83","Aurora"
"84","Newmarket"
"85","King"
"86","East Gwillimbury"
"87","Georgina"
"88","Chippewas of Georgina Island First Nation"
"89","Toronto"
"90","Mississauga"
"91","Brampton"
"92","Caledon"
"93","East Garafraxa"
"94","East Luther Grand Valley"
"95","Mono"
"96","Orangeville"
"97","Mulmur"
"98","Shelburne"
"99","Puslinch"
"100","Guelph"
"101","Guelph/Eramosa"
"102","Erin"
"103","Centre Wellington"
"104","Mapleton"
"105","Minto"
"106","Wellington North"
"107","Oakville"
"108","Burlington"
"109","Milton"
"110","Halton Hills"
"111","Fort Erie"
"112","Port Colborne"
"113","Wainfleet"
"114","West Lincoln"
"115","Pelham"
"116","Welland"
"117","Thorold"
"118","Niagara Falls"
"119","Niagara-on-the-Lake"
"120","St. Catharines"
"121","Lincoln"
