MUNID,LT1NAME,"MEDIAN.HOUSEHOLD.INCOME
(FINANCE 2011)
 $"
20002,Toronto C,58381.00
18000,Durham R,81127.00
18013,Oshawa C,63136.00
18001,Pickering C,89796.00
18005,Ajax T,88262.00
18017,Clarington M,83439.00
18009,Whitby T,94685.00
18039,Brock Tp,67352.00
18020,Scugog Tp,87817.00
18029,Uxbridge Tp,90910.00
28005,Haldimand County,68510.00
28030,Norfolk County,57659.00
24000,Halton R,91955.00
24002,Burlington C,82494.00
24015,Halton Hills T,94190.00
24009,Milton T,95898.00
24001,Oakville T,101713.00
25005,Hamilton C,60259.00
26000,Niagara R,58662.00
26043,Niagara Falls C,54783.00
26011,Port Colborne C,52643.00
26053,St. Catharines C,54409.00
26032,Welland C,53238.00
26037,Thorold C,59256.00
26003,Fort Erie T,54098.00
26065,Grimsby T,79036.00
26057,Lincoln T,73335.00
26047,Niagara-on-the-Lake T,77007.00
26028,Pelham T,84795.00
26014,Wainfleet Tp,69574.00
26021,West Lincoln Tp,76648.00
6005,Ottawa C,79634.00
21000,Peel R,77588.00
21010,Brampton C,77787.00
21005,Mississauga C,75556.00
21024,Caledon T,98502.00
53005,Greater Sudbury C,62481.00
30000,Waterloo R,69706.00
30006,Cambridge C,68373.00
30012,Kitchener C,63709.00
30016,Waterloo C,77626.00
30001,North Dumfries Tp,91459.00
30024,Wellesley Tp,85097.00
30018,Wilmot Tp,82802.00
30029,Woolwich Tp,88161.00
19000,York R,89125.00
19028,Vaughan C,93816.00
19046,Aurora T,101923.00
19036,Markham T,86022.00
19048,Newmarket T,88084.00
19038,Richmond Hill T,87388.00
19044,Whitchurch - Stouffville T,93391.00
19054,East Gwillimbury T,94038.00
19070,Georgina T,69928.00
19049,King Tp,96500.00
44000,Muskoka D,60674.00
44018,Bracebridge T,65932.00
44002,Gravenhurst T,52010.00
44042,Huntsville T,62673.00
44065,Georgian Bay Tp,51837.00
44027,Lake of Bays Tp,61554.00
44053,Muskoka Lakes Tp,60649.00
32000,Oxford Co,63180.00
32042,Woodstock C,57868.00
32018,Ingersoll T,66366.00
32004,Tillsonburg T,52228.00
32045,Blandford - Blenheim Tp,86272.00
32038,East Zorra - Tavistock Tp,77953.00
32002,Norwich Tp,68178.00
32011,South-West Oxford Tp,73996.00
32027,Zorra Tp,75250.00
29006,Brantford C,56837.00
29002,Brant County,74955.00
41000,Bruce Co,67936.00
41053,The South Bruce Peninsula T,52493.00
41043,Saugeen Shores T,81410.00
41037,Arran-Elderslie M,60362.00
41030,Brockton M,65065.00
41061,Northern Bruce Peninsula M,50658.00
41010,Huron-Kinloss Tp,72470.00
41020,Kincardine M,78284.00
41004,South Bruce M,67189.00
22000,Dufferin Co,77186.00
22014,Orangeville T,73953.00
22021,Shelburne T,63608.00
22012,Mono T,106273.00
22008,Amaranth Tp,64244.00
22001,East Garafraxa Tp,116041.00
22019,Melancthon Tp,83464.00
22016,Mulmur Tp,75076.00
22005,East Luther Grand Valley Tp,66078.00
34000,Elgin Co,63175.00
34021,St. Thomas C,56599.00
34011,Aylmer T,50908.00
34024,Southwold Tp,80727.00
34003,Bayham M,58543.00
34015,Central Elgin M,73615.00
34028,Dutton-Dunwich M,70082.00
34007,Malahide Tp,60343.00
34035,West Elgin M,48082.00
37000,Essex Co,71990.00
37039,Windsor C,49113.00
37034,LaSalle T,90737.00
37025,Amherstburg T,73115.00
37020,Essex T,62393.00
37008,Kingsville T,68419.00
37049,Lakeshore T,82017.00
37003,Leamington M,55192.00
37043,Tecumseh T,84771.00
37001,Pelee Tp,49683.00
10000,Frontenac Co,68326.00
10005,Kingston C,59935.00
10025,Central Frontenac Tp,49024.00
10002,Frontenac Islands Tp,82045.00
10041,North Frontenac Tp,43793.00
10013,South Frontenac Tp,81664.00
42000,Grey Co,56518.00
42059,Owen Sound C,49428.00
42029,Hanover T,46595.00
42041,The Blue Mountains T,66428.00
42047,Meaford M,64666.00
42031,Chatsworth Tp,57378.00
42005,Southgate Tp,56480.00
42055,Georgian Bluffs Tp,68520.00
42013,Grey Highlands M,58943.00
42004,West Grey M,59205.00
46000,Haliburton Co,51551.00
46024,Dysart et al Tp,51320.00
46011,Minden Hills Tp,51693.00
46002,Highlands East M,47434.00
46020,Algonquin Highlands Tp,56812.00
12000,Hastings Co,49524.00
12005,Belleville C,52733.00
12010,Quinte West C,60310.00
12002,Deseronto T,47139.00
12061,Bancroft T,42825.00
12058,Faraday Tp,53773.00
12051,Limerick Tp,35348.00
12036,Madoc Tp,57398.00
12048,Tudor and Cashel Tp,38443.00
12001,Tyendinaga Tp,70435.00
12054,Wollaston Tp,35037.00
12023,Centre Hastings M,55478.00
12017,Stirling-Rawdon Tp,60124.00
12027,Tweed M,43235.00
12073,Hastings Highlands M,50291.00
12067,Carlow-Mayo Tp,38457.00
12039,Marmora and Lake M,50647.00
40000,Huron Co,58092.00
40028,Goderich T,56573.00
40010,Bluewater M,57894.00
40003,South Huron M,56447.00
40015,Huron East M,60124.00
40046,Howick Tp,63225.00
40025,Central Huron M,51954.00
40030,Ashfield-Colborne-Wawanosh Tp,62288.00
40048,Morris-Turnberry M,64417.00
40050,North Huron Tp,57763.00
36003,Chatham-Kent M,51851.00
38000,Lambton Co,62615.00
38030,Sarnia C,56858.00
38037,Lambton Shores M,62167.00
38019,Petrolia T,63396.00
38033,Plympton-Wyoming T,78546.00
38018,Oil Springs V,63440.00
38031,Point Edward V,64832.00
38016,Enniskillen Tp,79909.00
38005,Dawn-Euphemia Tp,60945.00
38040,Warwick Tp,60132.00
38011,Brooke-Alvinston M,59893.00
38002,St. Clair Tp,72444.00
9000,Lanark Co,69222.00
9004,Smiths Falls ST,45469.00
9028,Carleton Place T,67465.00
9021,Perth T,47201.00
9030,Mississippi Mills T,78953.00
9024,Beckwith Tp,96350.00
9001,Montague Tp,70200.00
9033,Lanark Highlands Tp,67739.00
9007,Drummond-North Elmsley Tp,71817.00
9010,Tay Valley Tp,67692.00
7000,Leeds and Grenville UCo,70090.00
7015,Brockville C,47903.00
7024,Gananoque ST,49111.00
7008,Prescott ST,43708.00
7033,Westport V,58207.00
7050,Merrickville-Wolford V,74660.00
7006,Augusta Tp,68526.00
7017,Front of Yonge Tp,70446.00
7055,North Grenville M,82434.00
7030,Rideau Lakes Tp,65405.00
7040,Athens Tp,63754.00
7003,Edwardsburgh-Cardinal Tp,67970.00
7019,Leeds and the Thousand Islands Tp,76414.00
7011,Elizabethtown-Kitley Tp,70563.00
11000,Lennox and Addington Co,62402.00
11010,Greater Napanee T,55736.00
11033,Addington Highlands Tp,50728.00
11002,Loyalist Tp,69324.00
11023,Stone Mills Tp,70028.00
39000,Middlesex Co,70899.00
39036,London C,56241.00
39002,Newbury V,40612.00
39020,Middlesex Centre M,91701.00
39057,Lucan Biddulph Tp,73073.00
39010,Adelaide-Metcalfe Tp,69361.00
39041,North Middlesex M,65680.00
