"","MUNID","LT1NAME","Geographic.code","CD_Name","CSD_type","CSD_Name","AHHI","MHHI"
"1",1000,"Stormont, Dundas and Glengarry UCo",NA,NA,NA,NA,NA,NA
"2",10000,"Frontenac Co",NA,NA,NA,NA,NA,NA
"3",10002,"Frontenac Islands Tp",3510005,"Frontenac","Township","Frontenac Islands",87243,82045
"4",10005,"Kingston C",3510010,"Frontenac","City","Kingston",76020,59935
"5",10013,"South Frontenac Tp",3510020,"Frontenac","Township","South Frontenac",91678,81664
"6",1002,"South Glengarry Tp",3501005,"Stormont, Dundas and Glengarry","Township","South Glengarry",82433,67735
"7",10025,"Central Frontenac Tp",NA,NA,NA,NA,NA,NA
"8",10041,"North Frontenac Tp",NA,NA,NA,NA,NA,NA
"9",1009,"South Stormont Tp",3501011,"Stormont, Dundas and Glengarry","Township","South Stormont",80862,68547
"10",1012,"Cornwall C",3501012,"Stormont, Dundas and Glengarry","City","Cornwall",53068,41924
"11",1016,"South Dundas Tp",3501020,"Stormont, Dundas and Glengarry","Township","South Dundas",69683,59003
"12",1026,"North Dundas Tp",3501030,"Stormont, Dundas and Glengarry","Township","North Dundas",81043,71958
"13",1037,"North Stormont Tp",3501042,"Stormont, Dundas and Glengarry","Township","North Stormont",76549,66072
"14",1047,"North Glengarry Tp",3501050,"Stormont, Dundas and Glengarry","Township","North Glengarry",63869,54922
"15",11000,"Lennox and Addington Co",NA,NA,NA,NA,NA,NA
"16",11002,"Loyalist Tp",3511005,"Lennox and Addington","Township","Loyalist",77169,69324
"17",11010,"Greater Napanee T",3511015,"Lennox and Addington","Town","Greater Napanee",66158,55736
"18",11023,"Stone Mills Tp",3511030,"Lennox and Addington","Township","Stone Mills",76368,70028
"19",11033,"Addington Highlands Tp",NA,NA,NA,NA,NA,NA
"20",12000,"Hastings Co",NA,NA,NA,NA,NA,NA
"21",12001,"Tyendinaga Tp",3512001,"Hastings","Township","Tyendinaga",74338,70435
"22",12002,"Deseronto T",NA,NA,NA,NA,NA,NA
"23",12005,"Belleville C",3512005,"Hastings","City","Belleville",65112,52733
"24",12010,"Quinte West C",3512015,"Hastings","City","Quinte West",70874,60310
"25",12017,"Stirling-Rawdon Tp",3512020,"Hastings","Township","Stirling-Rawdon",73264,60124
"26",12023,"Centre Hastings M",3512026,"Hastings","Municipality","Centre Hastings",67826,55478
"27",12027,"Tweed M",3512030,"Hastings","Municipality","Tweed",55584,43235
"28",12036,"Madoc Tp",NA,NA,NA,NA,NA,NA
"29",12039,"Marmora and Lake M",NA,NA,NA,NA,NA,NA
"30",12048,"Tudor and Cashel Tp",3512048,"Hastings","Township","Tudor and Cashel",46060,38443
"31",12051,"Limerick Tp",3512051,"Hastings","Township","Limerick",52892,35348
"32",12054,"Wollaston Tp",NA,NA,NA,NA,NA,NA
"33",12058,"Faraday Tp",3512058,"Hastings","Township","Faraday",61774,53773
"34",12061,"Bancroft T",3512061,"Hastings","Town","Bancroft",59131,42825
"35",12067,"Carlow/Mayo Tp",3512065,"Hastings","Township","Carlow/Mayo",49819,38457
"36",12073,"Hastings Highlands M",3512076,"Hastings","Municipality","Hastings Highlands",62277,50291
"37",13002,"Prince Edward County C",3513020,"Prince Edward","City","Prince Edward County",78710,58670
"38",14000,"Northumberland Co",NA,NA,NA,NA,NA,NA
"39",14005,"Brighton M",3514004,"Northumberland","Municipality","Brighton",70261,63497
"40",14010,"Cramahe Tp",3514014,"Northumberland","Township","Cramahe",70604,62027
"41",14015,"Alnwick-Haldimand Tp",3514024,"Northumberland","Township","Alnwick/Haldimand",89150,78090
"42",14019,"Hamilton Tp",3525005,"Hamilton","City","Hamilton",76742,60259
"43",14021,"Cobourg T",3514021,"Northumberland","Town","Cobourg",71723,57611
"44",14022,"Port Hope M",3514020,"Northumberland","Municipality","Port Hope",79413,62180
"45",14028,"Trent Hills M",3514045,"Northumberland","Municipality","Trent Hills",63368,53908
"46",15000,"Peterborough Co",NA,NA,NA,NA,NA,NA
"47",15002,"Asphodel-Norwood Tp",3515003,"Peterborough","Township","Asphodel-Norwood",67809,54407
"48",15005,"Otonabee-South Monaghan Tp",3515005,"Peterborough","Township","Otonabee-South Monaghan",86788,77512
"49",15012,"Cavan Monaghan Tp",NA,NA,NA,NA,NA,NA
"50",15014,"Peterborough C",3515014,"Peterborough","City","Peterborough",66284,52883
"51",15017,"Selwyn Tp",NA,NA,NA,NA,NA,NA
